;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
36417;31;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36418;32;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36419;33;там;ТАМ;ADVPRO;;;м;а;т;;;;ADV;ТАМ;ADV -
36420;34;было;БЫТЬ;V ipf praet sg indic n;;;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -
36421;35;написано;НАПИСАТЬ;PARTCP pf praet sg brev n pass;;;о;н;а;с;и;п;PARTCP;НАПИСАТЬ;PARTCP pf praet - sg brev n pass -
36422;36;сначала;СНАЧАЛА;ADV ;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
36423;37;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36424;38;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
36425;39;ко...;КО...;;distort;;;;;о;к;;PR;КО...;PR
36426;40;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
36427;41;ко...;КО...;;distort;;;;;о;к;;PR;КО...;PR
36428;42;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
36429;43;кого;КТО;SPRO m gen sg anim;;;о;г;о;к;;;S;КТО;S m - gen sg
36430;44;это;ЭТО;SPRO n nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
36431;45;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36432;46;кому;КТО;SPRO m dat sg anim;;;у;м;о;к;;;S;КТО;S m - dat sg
36433;47;это;ЭТО;SPRO n nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
36434;48;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36435;49;потому что;потому что;CONJ;;;о;т;ч;;у;м;ZERO;потому что;ZERO
36436;50;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36437;51;постеснялась;ПОСТЕСНЯТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;я;н;V;ПОСТЕСНЯТЬСЯ;V pf praet sg indic f -
36438;52;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36439;53;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36440;54;потом;ПОТОМ;ADV ;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36441;55;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36442;56;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36443;57;сказала;СКАЗАТЬ;V pf praet sg indic f;;;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -
36444;58;то;ТО;SPRO n inan acc sg;;;о;т;;;;;S;ТО;S n inan acc sg
36445;59;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36446;60;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36447;61;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36448;62;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36449;63;у;У;PR;;;у;;;;;;PR;У;PR
36450;64;нас;МЫ;SPRO pl 1p gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
36451;65;начался;НАЧАТЬСЯ;V pf praet sg indic m;;;я;с;л;а;ч;а;V;НАЧАТЬСЯ;V pf praet sg indic m -
36452;66;урок;УРОК;S m inan nom sg;;;к;о;р;у;;;S;УРОК;S m inan acc sg
36453;67;рррусского;РУССКИЙ;A gen sg plen m;*;;о;г;о;к;с;с;A;РРРУССКИЙ;A - acc sg plen m anim
36454;68;языка;ЯЗЫК;S m inan gen sg;;;а;к;ы;з;я;;S;ЯЗЫК;S m inan gen sg
36455;69;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36456;70;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36457;71;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36458;72;сказала;СКАЗАТЬ;V pf praet sg indic f;;;а;л;а;з;а;к;V;СКАЗАТЬ;V pf praet sg indic f -
36459;73;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36460;74;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36461;75;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36462;76;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36463;77;должна;ДОЛЖНЫЙ;A sg brev f;;;а;н;ж;л;о;д;A;ДОЛЖНЫЙ;A - - sg brev f -
36464;78;кое-что;КОЕ-ЧТО;SPRO inan n acc sg;;;о;т;ч;;е;о;S;КОЕ-ЧТО;S n - acc sg
36465;79;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36466;80;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36467;81;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
36468;82;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
36469;83;;_;;;;;;;;;;;_;84
36470;84;адать;ОТДАТЬ;V pf inf;*;;ь;т;а;д;а;;V;АДАТЬ;V pf - - inf - -
36471;85;;_;;;;;;;;;;;_;84
36472;86;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36473;87;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36474;88;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36475;89;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
36476;90;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36477;91;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36478;92;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36479;93;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36480;94;сказал;СКАЗАТЬ;V pf praet sg indic m;;;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -
36481;95;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36482;96;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36483;97;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
36484;98;Хорошо;ХОРОШО;PART;;;о;ш;о;р;о;х;PART;ХОРОШО;PART
36485;99;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36486;100;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36487;101;хорошо;ХОРОШО;PART;;;о;ш;о;р;о;х;ADV;ХОРОШО;ADV -
36488;102;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36489;103;отдашь;ОТДАТЬ;V pf fut sg indic 2p;;;ь;ш;а;д;т;о;V;ОТДАТЬ;V pf fut sg indic - 2p
36490;104;мне;Я;SPRO sg 1p dat;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
36491;105;потом;ПОТОМ;ADV ;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36492;106;на;НА;PR;;;а;н;;;;;PR;НА;PR
36493;107;перемене;ПЕРЕМЕНА;S f inan loc sg;;;е;н;е;м;е;р;S;ПЕРЕМЕНА;S f inan loc sg
36494;108;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
36495;109;.;.;SENT;;;;;;;;;SENT;.;SENT
36496;;;;;;;;;;;;;;;
36497;1;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36498;2;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36499;3;началась;НАЧАТЬСЯ;V pf praet sg indic f ;;;ь;с;а;л;а;ч;V;НАЧАТЬСЯ;V pf praet sg indic f -
36500;4;перемена;ПЕРЕМЕНА;S f inan nom sg;;;а;н;е;м;е;р;S;ПЕРЕМЕНА;S f inan nom sg
36501;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36502;6;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36503;7;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36504;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36505;9;яяя;Я;SPRO sg 1p nom;*;;я;я;я;;;;NONLEX;ЯЯЯ;NONLEX
36506;10;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36507;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36508;12;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36509;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36510;14;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36511;15;его;ОН;SPRO sg 3p m acc;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc
36512;16;сначала;СНАЧАЛА;ADV;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
36513;17;побоялась;ПОБОЯТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;я;о;V;ПОБОЯТЬСЯ;V pf praet sg indic f -
36514;18;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36515;19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36516;20;потому что;потому что;CONJ;;;о;т;ч;;у;м;ZERO;потому что;ZERO
36517;21;эта;ЭТОТ;APRO nom sg plen f;;;а;т;э;;;;A;ЭТОТ;A - nom sg plen f -
36518;22;моя;МОЙ;APRO nom sg plen f;;;я;о;м;;;;A;МОЙ;A - nom sg plen f -
36519;23;подружка;ПОДРУЖКА;S f anim nom sg f;;;а;к;ж;у;р;д;S;ПОДРУЖКА;S f anim nom sg
36520;24;Лиза;ЛИЗА;S f anim nom sg persn;;;а;з;и;л;;;S;ЛИЗА;S f anim nom sg
36521;25;хотела;ХОТЕТЬ;V ipf praet sg indic f ;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
36522;26;сама;САМ;APRO nom sg plen f;;;а;м;а;с;;;A;САМ;A - nom sg plen f -
36523;27;у;У;PR;;;у;;;;;;PR;У;PR
36524;28;меня;Я;SPRO sg 1p gen;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
36525;29;вырвать;ВЫРВАТЬ;V pf inf;;;ь;т;а;в;р;ы;V;ВЫРВАТЬ;V pf - - inf - -
36526;30;этот;ЭТОТ;APRO acc sg plen m inan;;;т;о;т;э;;;A;ЭТОТ;A - acc sg plen m inan
36527;31;конверт;КОНВЕРТ;S m inan acc sg;;;т;р;е;в;н;о;S;КОНВЕРТ;S m inan acc sg
36528;32;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36529;33;отдать;ОТДАТЬ;V pf inf ;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36530;34;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36531;35;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36532;36;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36533;37;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36534;38;ей;ОНА;SPRO sg 3p f dat;;;й;е;;;;;SPRO;ОНА;SPRO sg 3p f dat
36535;39;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36536;40;дала;ДАТЬ;V pf praet sg indic f ;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
36537;41;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36538;42;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36539;43;мы;МЫ;SPRO pl 1p nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
36540;44;чуть;ЧУТЬ;ADV;;;ь;т;у;ч;;;ADV;ЧУТЬ;ADV -
36541;45;с;С;PR;;;с;;;;;;PR;С;PR
36542;46;ней;ОНА;SPRO sg 3p f ins;;;й;е;н;;;;SPRO;ОНА;SPRO sg 3p f loc
36543;47;конверт;КОНВЕРТ;S m inan acc sg;;;т;р;е;в;н;о;S;КОНВЕРТ;S m inan acc sg
36544;48;этот;ЭТОТ;APRO acc sg plen m;;;т;о;т;э;;;A;ЭТОТ;A - nom sg plen m -
36545;49;дурацкий;ДУРАЦКИЙ;A acc sg plen m;;;й;и;к;ц;а;р;A;ДУРАЦКИЙ;A - nom sg plen m -
36546;50;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36547;51;порвали;ПОРВАТЬ;V pf praet pl indic;;;и;л;а;в;р;о;V;ПОРВАТЬ;V pf praet pl indic - -
36548;52;.;.;SENT;;;;;;;;;SENT;.;SENT
36549;;;;;;;;;;;;;;;
36550;1;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36551;2;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36552;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36553;4;Ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36554;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36555;6;в;В;PR;;;в;;;;;;PR;В;PR
36556;7;общем;ОБЩИЙ;A loc sg plen m;;;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -
36557;8;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36558;9;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36559;10;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36560;11;отдала;ОТДАТЬ;V pf praet sg indic f ;;;а;л;а;д;т;о;V;ОТДАТЬ;V pf praet sg indic f -
36561;12;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36562;13;ждала;ЖДАТЬ;V ipf praet sg indic f ;;;а;л;а;д;ж;;V;ЖДАТЬ;V ipf praet sg indic f -
36563;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36564;15;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36565;16;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36566;17;уже;УЖЕ;ADV;;;е;ж;у;;;;ADV;УЖЕ;ADV -
36567;18;прочитает;ПРОЧЕСТЬ;V pf fut sg indic 3p;;;т;е;а;т;и;ч;V;ПРОЧЕСТЬ;V pf fut sg indic - 3p
36568;19;.;.;SENT;;;;;;;;;SENT;.;SENT
36569;;;;;;;;;;;;;;;
36570;1;Он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36571;2;сказал;СКАЗАТЬ;V pf praet sg indic m ;;;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -
36572;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36573;4;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36574;5;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36575;6;прочитает;ПРОЧЕСТЬ;V pf fut sg indic 3p;;;т;е;а;т;и;ч;V;ПРОЧЕСТЬ;V pf fut sg indic - 3p
36576;7;это;ЭТО;SPRO n acc sg;;;о;т;э;;;;S;ЭТО;S n - acc sg
36577;8;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36578;9;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36579;10;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
36580;11;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
36581;12;;_;;;;;;;;;;;_;13
36582;13;тока;ТОЛЬКО;PART;*;;а;к;о;т;;;S;ТОК;S m inan gen sg
36583;14;;_;;;;;;;;;;;_;13
36584;15;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36585;16;только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
36586;17;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36587;18;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
36588;19;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36589;20;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36590;21;дома;ДОМА;ADV ;;;а;м;о;д;;;ADV;ДОМА;ADV -
36591;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36592;23;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36593;24;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36594;25;очень;ОЧЕНЬ;ADV ;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
36595;26;расстроилась;РАССТРОИТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;и;о;V;РАССТРОИТЬСЯ;V pf praet sg indic f -
36596;27;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36597;28;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36598;29;поэтому;ПОЭТОМУ;ADVPRO;;;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -
36599;30;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36600;31;очень;ОЧЕНЬ;ADV;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
36601;32;жду;ЖДАТЬ;V ipf praes sg indic 1p;;;у;д;ж;;;;V;ЖДАТЬ;V ipf praes sg indic - 1p
36602;33;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36603;34;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36604;35;поэтому;ПОЭТОМУ;ADVPRO;;;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -
36605;36;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36606;37;очень;ОЧЕНЬ;ADV;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
36607;38;жду;ЖДАТЬ;V ipf praes sg indic 1p;;;у;д;ж;;;;V;ЖДАТЬ;V ipf praes sg indic - 1p
36608;39;завтраш...;ЗАВТРАША...;;distort;;;;;ш;а;р;S;ЗАВТРАША...;S m anim dat sg
36609;40;завтрашнего;ЗАВТРАШНИЙ;A gen sg plen m;;;о;г;е;н;ш;а;A;ЗАВТРАШНИЙ;A - gen sg plen m -
36610;41;дня;ДЕНЬ;S m inan gen sg;;;я;н;д;;;;S;ДЕНЬ;S m inan gen sg
36611;42;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36612;43;чтобы;ЧТОБЫ;CONJ;;;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ
36613;44;узнать;УЗНАТЬ;V pf inf;;;ь;т;а;н;з;у;V;УЗНАТЬ;V pf - - inf - -
36614;45;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36615;46;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36616;47;что;ЧТО;CONJ;;;о;т;ч;;;;S;ЧТО;S n - nom sg
36617;48;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36618;49;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
36619;50;скажет;СКАЗАТЬ;V pf fut sg indic 3p;;;т;е;ж;а;к;с;V;СКАЗАТЬ;V pf fut sg indic - 3p
36620;51;то;ТО;SPRO inan n acc sg;;;о;т;;;;;S;ТО;S n - acc sg
36621;52;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36622;53;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36623;54;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36624;55;то;ТО;SPRO n inan acc sg;;;о;т;;;;;S;ТО;S n inan acc sg
36625;56;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36626;57;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36627;58;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36628;59;там;ТАМ;ADVPRO;;;м;а;т;;;;ADV;ТАМ;ADV -
36629;60;прочи...;ПРОЧИТЬ...;;distort;;;;;и;ч;о;V;ПРОЧИТЬ...;V pf - sg imper - 2p
36630;61;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36631;62;написала;НАПИСАТЬ;V pf praet sg indic f;;;а;л;а;с;и;п;V;НАПИСАТЬ;V pf praet sg indic f -
36632;63;.;.;SENT;;;;;;;;;SENT;.;SENT
36633;;;;;;;;;;;;;;;
36634;1;Всё;ВСЕ;PRAEDIC;;;ё;с;в;;;;S;ВСЕ;S - - acc pl
36635;2;?;?;SENT;;;;;;;;;SENT;?;SENT
36636;;;;;;;;;;;;;;;
36637;1;Интервьюер;ИНТЕРВЬЮЕР;S m anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m anim nom sg
36638;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36639;3;Здорово;ЗДОРОВО;INTJ;;;о;в;о;р;о;д;INTJ;ЗДОРОВО;INTJ
36640;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36641;5;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
36642;6;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36643;7;ещё;ЕЩЕ;ADV ;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36644;8;было;БЫТЬ;V ipf praet sg indic n ;;;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -
36645;9;?;?;SENT;;;;;;;;;SENT;?;SENT
36646;;;;;;;;;;;;;;;
36647;1;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36648;2;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36649;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36650;4;Нууу;НУ;PART;*;;у;у;у;н;;;S;НУУУ;S f anim nonflex nonflex
36651;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36652;6;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36653;7;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36654;8;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
36655;9;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
36656;10;;_;;;;;;;;;;;_;11
36657;11;ищё;ИЩЕ;ADV;*;;ё;щ;и;;;;S;ИЩЕ;S m anim nonflex nonflex
36658;12;;_;;;;;;;;;;;_;11
36659;13;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36660;14;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36661;15;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36662;16;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36663;17;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36664;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36665;19;ещёёё;ЕЩЕ;ADV ;*;;ё;ё;ё;щ;е;;ADV;ЕЩЕЕЕ;ADV -
36666;20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36667;21;ха-ха;ХА-ХА;INTJ;;;а;х;;а;х;;INTJ;ХА-ХА;INTJ
36668;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36669;23;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36670;24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36671;25;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36672;26;у;У;PR;;;у;;;;;;PR;У;PR
36673;27;нас;МЫ;SPRO pl 1p gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
36674;28;сегодня;СЕГОДНЯ;ADV ;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
36675;29;сегодня;СЕГОДНЯ;ADV ;;;я;н;д;о;г;е;ADV;СЕГОДНЯ;ADV -
36676;30;бы...;БЫ...;;distort;;;;;ы;б;;PART;БЫ...;PART
36677;31;бы...;БЫ...;;distort;;;;;ы;б;;PART;БЫ...;PART
36678;32;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36679;33;было;БЫТЬ;V ipf praet sg indic n ;;;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -
36680;34;истории;ИСТОРИЯ;S f inan gen sg;;;и;и;р;о;т;с;S;ИСТОРИЯ;S f inan gen sg
36681;35;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36682;36;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36683;37;наша;НАШ;APRO nom sg plen f ;;;а;ш;а;н;;;A;НАШ;A - nom sg plen f -
36684;38;классная;КЛАССНЫЙ;A nom sg plen f ;;;я;а;н;с;с;а;A;КЛАССНЫЙ;A - nom sg plen f -
36685;39;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36686;40;на;НА;NONLEX;слитно;;а;н;;;;;PR;НА;PR
36687;41;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36688;42;наша;НАШ;APRO nom sg plen f ;;;а;ш;а;н;;;A;НАШ;A - nom sg plen f -
36689;43;учительница;УЧИТЕЛЬНИЦА;S f anim nom sg;;;а;ц;и;н;ь;л;S;УЧИТЕЛЬНИЦА;S f anim nom sg
36690;44;по;ПО;PR;;;о;п;;;;;PR;ПО;PR
36691;45;истории;ИСТОРИЯ;S f inan dat sg;;;и;и;р;о;т;с;S;ИСТОРИЯ;S f inan loc sg
36692;46;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
36693;47;классная;КЛАССНЫЙ;A nom sg plen f;;;я;а;н;с;с;а;A;КЛАССНЫЙ;A - nom sg plen f -
36694;48;руководительница;РУКОВОДИТЕЛЬНИЦА;S f anim nom sg;;;а;ц;и;н;ь;л;S;РУКОВОДИТЕЛЬНИЦА;S f anim nom sg
36695;49;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36696;50;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36697;51;обычно;ОБЫЧНО;ADV ;;;о;н;ч;ы;б;о;ADV;ОБЫЧНО;ADV -
36698;52;она;ОНА;SPRO sg 3p f nom;;;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom
36699;53;всех;ВЕСЬ;APRO gen pl plen;;;х;е;с;в;;;A;ВЕСЬ;A - gen pl plen - -
36700;54;девочек;ДЕВОЧКА;S f anim gen pl;;;к;е;ч;о;в;е;S;ДЕВОЧКА;S f anim gen pl
36701;55;называет;НАЗЫВАТЬ;V ipf praes sg indic 3p;;;т;е;а;в;ы;з;V;НАЗЫВАТЬ;V ipf praes sg indic - 3p
36702;56;курицами;КУРИЦА;S f anim ins pl;;;и;м;а;ц;и;р;S;КУРИЦА;S f anim ins pl
36703;57;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36704;58;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
36705;59;сейчас;СЕЙЧАС;ADV;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
36706;60;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
